,ESCS,MATH,predict
477473,1.2,379.9735,516.05416939
475704,1.49,500.63096,525.707585755
479804,-0.93,527.81584,445.151490572
477721,0.36,583.04254,488.092549574
480014,-1.21,509.04346,435.830950633
475761,0.75,606.25486,501.074730203
479748,-1.64,531.86634,421.517264299
478017,1.23,373.04098,517.052798669
480004,-0.98,494.00998,443.48710844
477050,-0.11,443.45692,472.447357535
480103,0.78,407.3142,502.073359482
476753,0.67,589.42982,498.411718792
480116,0.11,613.81056,479.770638915
479366,0.36,490.34896,488.092549574
477260,-0.78,371.24942,450.144636967
476952,1.63,571.35848,530.367855725
476803,-0.26,520.26016,467.454211139
478871,0.23,423.7498,483.765156032
476840,0.87,425.77506,505.06924732
476485,1.1,435.04438,512.725405127
476251,-0.72,488.9469,452.141895526
478820,1.58,496.03522,528.703473593
475904,0.78,469.9408,502.073359482
479896,1.49,607.11168,525.707585755
479854,0.34,486.0648,487.426796722
477633,-0.49,399.91432,459.798053332
478346,1.34,621.44414,520.71443936
478949,0.64,485.20796,497.413089513
478088,0.59,581.95202,495.748707381
480009,-0.84,408.17108,448.147378409
477602,1.67,573.22792,531.69936143
479108,2.31,615.05686,553.003452718
480528,-0.61,312.59542,455.803536216
477842,1.29,448.13054,519.050057228
477190,0.78,560.21964,502.073359482
477869,0.16,467.13662,481.435021047
479455,0.51,580.31626,493.08569597
479589,0.07,479.28806,478.439133209
479803,1.01,323.50054,509.729517289
479225,0.68,532.02214,498.744595219
476172,0.11,542.30408,479.770638915
479370,-0.63,411.13102,455.137783363
476983,0.82,410.81944,503.404865188
477870,0.74,477.73016,500.741853777
475633,-0.71,442.6001,452.474771952
478886,0.82,433.33074,503.404865188
478359,-1.06,501.33196,440.824097029
478106,0.92,724.2639,506.733629452
478117,1.03,661.24786,510.395270142
479974,0.65,601.89282,497.745965939
476133,0.54,530.23058,494.084325249
478518,0.28,603.84016,485.429538163
479339,-0.44,436.1349,461.462435464
476864,0.57,275.3622,495.082954528
478787,1.5,517.76758,526.040462182
478316,0.57,485.59744,495.082954528
478410,1.09,510.05608,512.3925287
479847,0.29,439.56224,485.76241459
475743,1.82,572.44898,536.692507826
480274,1.42,488.94688,523.377450771
476328,0.97,444.15798,508.398011584
477010,0.52,546.043,493.418572397
479738,-0.53,441.58746,458.466547627
479577,1.15,495.3342,514.389787258
480263,-0.88,331.36784,446.815872703
479917,0.63,469.62922,497.080213087
479773,-0.31,390.64496,465.789829007
479481,-0.71,391.5797,452.474771952
